# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.382220058570e-10       4.179362339439e-15       3.519375290017e-13       0.000000000000e+00       8.283472007270e-09       4.560257928795e-10      -1.842278310727e-12 
    3       1.306765779090e-10       5.354310533432e-15       3.955072825376e-13       0.000000000000e+00       5.087563311076e-09       3.225350161386e-10      -1.394818488017e-12 
    4       1.235936656032e-10       4.628807413959e-15       3.698022314120e-13       0.000000000000e+00       3.523426902342e-09       2.438133226355e-10      -9.127158800382e-13 
    5       1.182956375453e-10       3.086034532351e-15       3.148738493822e-13       0.000000000000e+00       2.621787554756e-09       1.923691600169e-10      -5.069477045190e-13 
    6       1.146628945150e-10       1.724511288750e-15       2.535633317978e-13       0.000000000000e+00       2.042743502556e-09       1.563745164182e-10      -2.081091589162e-13 
    7       1.122954840385e-10       9.315385484288e-16       1.990689527706e-13       0.000000000000e+00       1.644411246679e-09       1.299781144475e-10      -1.764957051566e-14 
    8       1.109127986810e-10       6.011012054454e-16       1.571596099008e-13       0.000000000000e+00       1.356595328916e-09       1.099770960879e-10       7.941252262823e-14 
    9       1.102665717091e-10       4.824289904954e-16       1.291092112735e-13       0.000000000000e+00       1.140649780009e-09       9.447336100763e-11       1.064372109881e-13 
   10       1.101261427870e-10       4.107513086542e-16       1.135895401821e-13       0.000000000000e+00       9.737524911599e-10       8.219942806735e-11       8.927904299872e-14 
   11       1.104323903063e-10       3.446475660529e-16       1.079387037674e-13       0.000000000000e+00       8.336128460792e-10       7.301391630862e-11       5.203131605371e-14 
