# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.382224791771e-10       4.179594743850e-15       3.519375251431e-13       2.324043546036e-19       8.283472007270e-09       4.560257928795e-10      -1.842278310727e-12 
    3       1.306775222545e-10       5.354775430510e-15       3.955072653285e-13       4.648965216715e-19       5.087563311076e-09       3.225350161386e-10      -1.394818488017e-12 
    4       1.235952344759e-10       4.629582437913e-15       3.698021819148e-13       7.750212237935e-19       3.523426902342e-09       2.438133226355e-10      -9.127158800382e-13 
    5       1.182979815599e-10       3.087197433237e-15       3.148737364851e-13       1.162891538222e-18       2.621787554756e-09       1.923691600169e-10      -5.069477045190e-13 
    6       1.146661608203e-10       1.726139959673e-15       2.535631094859e-13       1.628645437815e-18       2.042743502556e-09       1.563745164182e-10      -2.081091589162e-13 
    7       1.122998158270e-10       9.337110513651e-16       1.990685575922e-13       2.172443662313e-18       1.644411246679e-09       1.299781144475e-10      -1.764957051566e-14 
    8       1.109183347961e-10       6.038957952156e-16       1.571589586597e-13       2.794467279821e-18       1.356595328916e-09       1.099770960879e-10       7.941252262823e-14 
    9       1.102734463582e-10       4.859241363473e-16       1.291081989722e-13       3.494914996166e-18       1.140649780009e-09       9.447336100763e-11       1.064372109881e-13 
   10       1.101344853629e-10       4.150257128590e-16       1.135880382370e-13       4.274000275084e-18       9.737524911599e-10       8.219942806735e-11       8.927904299872e-14 
   11       1.104423253165e-10       3.497801788649e-16       1.079365585088e-13       5.131948335632e-18       8.336128460792e-10       7.301391630862e-11       5.203131605371e-14 
   12       1.110455797145e-10       3.058309193006e-16       1.090963963304e-13       6.068993094822e-18       7.285559022319e-10       6.456128072984e-11       1.227603713626e-14 
   13       1.118937315283e-10       2.941761609928e-16       1.143828120016e-13       7.085374123224e-18       6.422893678129e-10       5.769582742211e-11      -1.798981233335e-14 
   14       1.129389144084e-10       3.068484162239e-16       1.217753146312e-13       8.181333679113e-18       5.704998619605e-10       5.171613862220e-11      -3.451226678417e-14 
   15       1.141682373922e-10       3.321047144778e-16       1.299850351529e-13       9.357113882813e-18       5.100629649833e-10       4.668613372720e-11      -3.750071016966e-14 
   16       1.155069977735e-10       3.674217159029e-16       1.383486136500e-13       1.061295408733e-17       4.586668463075e-10       4.235077438061e-11      -3.091276157837e-14 
   17       1.169819231605e-10       4.183288647231e-16       1.466480076737e-13       1.194908849432e-17       4.145686387050e-10       3.856724982793e-11      -1.994050263234e-14 
   18       1.185301661762e-10       4.902565032881e-16       1.551406957849e-13       1.336574396206e-17       3.762908405796e-10       3.526708060069e-11      -9.473473328221e-15 
   19       1.201630792333e-10       5.835308430179e-16       1.640486962923e-13       1.486313869524e-17       3.432160038742e-10       3.240307352131e-11      -2.117008670452e-15 
   20       1.218732499160e-10       6.961504895482e-16       1.735124315378e-13       1.644147975233e-17       3.140838445633e-10       2.986092894622e-11       4.181273466713e-16 
   21       1.236619327691e-10       8.274796470654e-16       1.834838015759e-13       1.810096344991e-17       2.884364398772e-10       2.759457807784e-11      -1.297304347380e-15 
   22       1.255030880142e-10       9.770315302858e-16       1.937756724604e-13       1.984177280370e-17       2.656565595058e-10       2.554693917184e-11      -5.509903071740e-15 
   23       1.274030489922e-10       1.144975193772e-15       2.040655022385e-13       2.166407952871e-17       2.454394821655e-10       2.370952945676e-11      -1.047325801809e-14 
   24       1.293560236082e-10       1.331526219323e-15       2.139408356247e-13       2.356804103932e-17       2.273238537326e-10       2.206576993824e-11      -1.433127538320e-14 
   25       1.313568165527e-10       1.536902963272e-15       2.230928875289e-13       2.555380307296e-17       2.110641017253e-10       2.059343847382e-11      -1.626980405194e-14 
   26       1.333877949398e-10       1.761479760328e-15       2.312566768463e-13       2.762149763749e-17       1.963421692311e-10       1.925568103795e-11      -1.595596988248e-14 
   27       1.354585490937e-10       2.006887028826e-15       2.383609442490e-13       2.977124989618e-17       1.830818216077e-10       1.804323731851e-11      -1.390107563238e-14 
   28       1.375717461732e-10       2.275378622195e-15       2.444182697790e-13       3.200317135876e-17       1.711224554234e-10       1.694071086781e-11      -1.111014668737e-14 
   29       1.397164525746e-10       2.569232333723e-15       2.494721486603e-13       3.431736008754e-17       1.601737849405e-10       1.592172579511e-11      -8.704465238383e-15 
   30       1.418992539612e-10       2.889539730940e-15       2.535704627444e-13       3.671391299430e-17       1.501754967584e-10       1.498521237892e-11      -7.073232404071e-15 
   31       1.441218500746e-10       3.236927301236e-15       2.567860462776e-13       3.919291705386e-17       1.410534058459e-10       1.413120669270e-11      -6.396846568482e-15 
   32       1.463761770904e-10       3.611967894274e-15       2.591857900018e-13       4.175444868883e-17       1.326632311970e-10       1.335269911714e-11      -6.762956420546e-15 
   33       1.486616981862e-10       4.015599110894e-15       2.606901404774e-13       4.439858505373e-17       1.249593087485e-10       1.264313882760e-11      -7.819261801444e-15 
   34       1.509720411708e-10       4.448848864628e-15       2.611604515542e-13       4.712539618291e-17       1.178734524725e-10       1.199024591729e-11      -8.978109969327e-15 
   35       1.532959141646e-10       4.912707537594e-15       2.604489466543e-13       4.993494484065e-17       1.113002442345e-10       1.137824234101e-11      -9.648693311586e-15 
