# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30493 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833537521925e+01 
       2.326967393847e-05       1.050301521955e+02 
       3.616372998733e-05       1.608006157520e+02 
       4.913726111443e-05       2.162187362680e+02 
       6.222535620342e-05       2.716139608428e+02 
       7.546398357379e-05       3.272355714502e+02 
       8.889031222638e-05       3.832982843621e+02 
       1.025430472490e-04       4.400009675584e+02 
       1.164627836686e-04       4.975362788853e+02 
       1.306923830687e-04       5.560965257996e+02 
       1.452773772987e-04       6.158777754054e+02 
       1.602664035450e-04       6.770830633128e+02 
       1.757116748614e-04       7.399251612601e+02 
       1.916694898995e-04       8.046291108094e+02 
       2.082007849422e-04       8.714346721817e+02 
       2.253717302997e-04       9.405987434127e+02 
       2.432543715134e-04       1.012397801400e+03 
       2.619273134132e-04       1.087130359330e+03 
       2.814764416317e-04       1.165119444634e+03 
       3.019956713613e-04       1.246715034307e+03 
       3.235877065930e-04       1.332296386918e+03 
       3.463647843938e-04       1.422274158042e+03 
       3.704493675935e-04       1.517092131111e+03 
       3.959747353115e-04       1.617228368067e+03 
       4.230854040532e-04       1.723195491006e+03 
       4.519372931431e-04       1.835539760345e+03 
       4.826975283032e-04       1.954838538323e+03 
       5.155437586628e-04       2.081695683036e+03 
       5.506628493090e-04       2.216734372777e+03 
       5.882488093103e-04       2.360586911939e+03 
       6.284998310978e-04       2.513881144550e+03 
       6.716143589608e-04       2.677223340269e+03 
       7.177861786684e-04       2.851177673915e+03 
       7.671986290104e-04       3.036242968720e+03 
       8.200181735232e-04       3.232827791043e+03 
       8.763877199100e-04       3.441225643270e+03 
       9.364202072576e-04       3.661592313540e+03 
       1.000193061330e-03       3.893927850123e+03 
       1.067744112443e-03       4.138065277632e+03 
       1.139069460162e-03       4.393667876671e+03 
       1.214123561627e-03       4.660235624728e+03 
       1.292821551820e-03       4.937120945963e+03 
       1.375043530655e-03       5.223531279254e+03 
       1.460640332113e-03       5.518594546594e+03 
       1.549440166586e-03       5.821393638168e+03 
       1.641255512648e-03       6.130955516589e+03 
       1.735889713358e-03       6.446297879493e+03 
       1.833142870906e-03       6.766452659461e+03 
       1.932816793166e-03       7.090485006595e+03 
       2.034718894134e-03       7.417507643907e+03 
       2.138665067546e-03       7.746690347315e+03 
       2.244481631978e-03       8.077266516059e+03 
       2.352006488695e-03       8.408535180174e+03 
       2.461089647824e-03       8.739861127868e+03 
       2.571593273101e-03       9.070673101201e+03 
       2.683391378607e-03       9.400460133352e+03 
       2.796369288990e-03       9.728768580578e+03 
       2.910422951889e-03       1.005519660644e+04 
       3.025458170273e-03       1.037939096279e+04 
       3.141389804317e-03       1.070104079122e+04 
       3.258140977722e-03       1.101987582927e+04 
       3.375642311869e-03       1.133565932893e+04 
       3.493831202440e-03       1.164818701586e+04 
       3.612651146772e-03       1.195728172673e+04 
       3.732051125655e-03       1.226279308385e+04 
       3.851985040147e-03       1.256458976173e+04 
       3.972411201928e-03       1.286256452809e+04 
       4.093291874426e-03       1.315662363160e+04 
       4.214592861221e-03       1.344669244092e+04 
       4.336283137875e-03       1.373270687255e+04 
       4.458334523279e-03       1.401461961222e+04 
       4.580721386660e-03       1.429239004049e+04 
       4.703420386606e-03       1.456598208718e+04 
       4.826410238721e-03       1.483533843459e+04 
       4.949671508773e-03       1.510054016917e+04 
       5.073186428517e-03       1.536150194336e+04 
       5.196938731640e-03       1.561824462266e+04 
       5.320913507538e-03       1.587080742366e+04 
       5.445097070896e-03       1.611920469047e+04 
       5.569476845268e-03       1.636338550900e+04 
       5.694041259048e-03       1.660265256392e+04 
       5.818779652417e-03       1.683849367148e+04 
       5.943682194026e-03       1.707019356092e+04 
       6.068739806307e-03       1.729772846393e+04 
       6.193944098434e-03       1.752125810844e+04 
       6.319287306094e-03       1.774087777494e+04 
       6.444762237292e-03       1.795665440237e+04 
       6.570362223538e-03       1.816792698868e+04 
       6.696081075830e-03       1.837532710836e+04 
       6.821913044899e-03       1.857874658033e+04 
       6.947852785271e-03       1.877835669353e+04 
       7.073895322743e-03       1.897410634047e+04 
       7.200036024897e-03       1.916598629772e+04 
       7.326270574352e-03       1.935407279524e+04 
       7.452594944467e-03       1.953825046703e+04 
       7.579005377243e-03       1.971889606646e+04 
       7.705498363195e-03       1.989634405516e+04 
       7.832070623020e-03       2.006961247621e+04 
       7.958719090852e-03       2.023924736795e+04 
       8.085440898978e-03       2.040530356656e+04 
       8.212233363853e-03       2.056786793508e+04 
       8.339093973303e-03       2.072690724375e+04 
       8.466020374798e-03       2.088247372754e+04 
       8.593010364690e-03       2.103460939774e+04 
       8.720061878339e-03       2.118335998335e+04 
       8.847172981035e-03       2.132874649985e+04 
       8.974341859652e-03       2.147077467006e+04 
       9.101566814958e-03       2.160955136068e+04 
       9.228846254539e-03       2.174507692814e+04 
       9.356178686261e-03       2.187738738708e+04 
       9.483562712250e-03       2.200653009680e+04 
       9.610997023322e-03       2.213254042151e+04 
       9.738480393840e-03       2.225546326526e+04 
       9.866011676956e-03       2.237524022767e+04 
       9.993589800205e-03       2.249207663513e+04 
       1.012121376143e-02       2.260578005228e+04 
       1.024888262499e-02       2.271657147906e+04 
       1.037659551829e-02       2.282450331962e+04 
       1.050435162848e-02       2.292945650529e+04 
       1.063215019948e-02       2.303147454698e+04 
