#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]        
       7.011132084577e-02       1.512228298497e-07      -1.188674271063e+00       2.079391158108e-02       3.733306465182e-10       9.333266162956e-10       9.425742240093e-18       1.866653232591e-10      -8.915057032972e-01       2.079391158108e-02       7.031041522637e-01       7.031044217838e-01      -8.915057042759e-01       2.080348360544e-02      -1.640050382729e-03      -1.467100307701e-05       0.000000000000e+00       3.333333331388e-01 
       7.021363620419e-02       1.514435419143e-07      -1.189309535101e+00       2.083529042251e-02       3.751662833933e-10       9.379157084833e-10       9.499757354898e-18       1.875831416967e-10      -8.919821513258e-01       2.083529042251e-02       7.029460460531e-01       7.029463161096e-01      -8.919821532874e-01       2.084490444879e-02      -1.644837285086e-03      -1.471305401039e-05       0.000000000000e+00       3.333333331383e-01 
       7.031595156262e-02       1.516642540620e-07      -1.189941211844e+00       2.087663820127e-02       3.770072968800e-10       9.425182422000e-10       9.574220339051e-18       1.885036484400e-10      -8.924559088830e-01       2.087663820127e-02       7.027888380717e-01       7.027891086641e-01      -8.924559118318e-01       2.088629435146e-02      -1.649631137447e-03      -1.475522706771e-05       0.000000000000e+00       3.333333331377e-01 
       7.075430691018e-02       1.526098642595e-07      -1.192620160323e+00       2.105366276350e-02       3.849599868418e-10       9.623999671044e-10       9.898468335507e-18       1.924799934209e-10      -8.944651202425e-01       2.105366276350e-02       7.021221628187e-01       7.021224357056e-01      -8.944651274663e-01       2.106350067995e-02      -1.670243084388e-03      -1.493720528779e-05       0.000000000000e+00       3.333333331353e-01 
       7.119266225775e-02       1.535554759804e-07      -1.195240900180e+00       2.123022930438e-02       3.930139906204e-10       9.825349765511e-10       1.023118230091e-17       1.965069953102e-10      -8.964306751352e-01       2.123022930438e-02       7.014700649769e-01       7.014703401523e-01      -8.964306867125e-01       2.124025120058e-02      -1.690980307854e-03      -1.512139942312e-05       0.000000000000e+00       3.333333331328e-01 
       7.163101760531e-02       1.545010892245e-07      -1.197800465496e+00       2.140626545843e-02       4.011683837580e-10       1.002920959395e-09       1.057248274506e-17       2.005841918790e-10      -8.983503491219e-01       2.140626545843e-02       7.008332863655e-01       7.008335638226e-01      -8.983503651333e-01       2.141647359647e-02      -1.711844839796e-03      -1.530785811967e-05       0.000000000000e+00       3.333333331303e-01 
       7.206937295288e-02       1.554467039918e-07      -1.200299053631e+00       2.158175459184e-02       4.094232286144e-10       1.023558071536e-09       1.092251650821e-17       2.047116143072e-10      -9.002242902233e-01       2.158175459184e-02       7.002117777109e-01       7.002120574426e-01      -9.002243107509e-01       2.159215126022e-02      -1.732837394160e-03      -1.549660783507e-05       0.000000000000e+00       3.333333331278e-01 
       7.311729243633e-02       1.577072691932e-07      -1.206032698151e+00       2.199907861840e-02       4.295666817304e-10       1.073916704326e-09       1.179563180065e-17       2.147833408652e-10      -9.045245236130e-01       2.199907861840e-02       6.987859726112e-01       6.987862577521e-01      -9.045245552777e-01       2.200993537703e-02      -1.783541024969e-03      -1.595723285531e-05       0.000000000000e+00       3.333333331218e-01 
       7.416521191978e-02       1.599678430996e-07      -1.211450044100e+00       2.241348756805e-02       4.502953592549e-10       1.125738398137e-09       1.272184337802e-17       2.251476796274e-10      -9.085875330750e-01       2.241348756805e-02       6.974393874421e-01       6.974396779544e-01      -9.085875763661e-01       2.242481778470e-02      -1.834976978164e-03      -1.643124042583e-05       0.000000000000e+00       3.333333331157e-01 
       7.521313140323e-02       1.622284257111e-07      -1.216573101569e+00       2.282514594398e-02       4.716177099202e-10       1.179044274800e-09       1.370349064978e-17       2.358088549601e-10      -9.124298261771e-01       2.282514594398e-02       6.961665187166e-01       6.961668145645e-01      -9.124298815978e-01       2.283696317375e-02      -1.887145195267e-03      -1.691881814159e-05       0.000000000000e+00       3.333333331095e-01 
       7.626105088668e-02       1.644890170276e-07      -1.221421857080e+00       2.323420273128e-02       4.935420941412e-10       1.233855235353e-09       1.474297758745e-17       2.467710470706e-10      -9.160663928101e-01       2.323420273128e-02       6.949623688637e-01       6.949626700136e-01      -9.160664608780e-01       2.324652072098e-02      -1.940045597320e-03      -1.742015797925e-05       0.000000000000e+00       3.333333331032e-01 
       7.933414987754e-02       1.711184132781e-07      -1.234229315921e+00       2.442010686692e-02       5.613886178665e-10       1.403471544666e-09       1.814864841402e-17       2.806943089332e-10      -9.256719869407e-01       2.442010686692e-02       6.917848982514e-01       6.917852147725e-01      -9.256720952173e-01       2.443397441053e-02      -2.099401176848e-03      -1.897150353684e-05       0.000000000000e+00       3.333333330843e-01 
       8.240724886840e-02       1.777478843916e-07      -1.245226389978e+00       2.558788355822e-02       6.346959656739e-10       1.586739914185e-09       2.213919439642e-17       3.173479828370e-10      -9.339197924834e-01       2.558788355822e-02       6.890612296391e-01       6.890615612963e-01      -9.339199459188e-01       2.560342532237e-02      -2.265051312428e-03      -2.064765705718e-05       0.000000000000e+00       3.333333330646e-01 
       8.548034785926e-02       1.843774303682e-07      -1.254726580820e+00       2.674004033671e-02       7.136742075043e-10       1.784185518761e-09       2.678568225179e-17       3.568371037521e-10      -9.410449356149e-01       2.674004033671e-02       6.867129700261e-01       6.867133166169e-01      -9.410451395509e-01       2.675738584284e-02      -2.436994520558e-03      -2.245348065119e-05       0.000000000000e+00       3.333333330442e-01 
       8.855344685012e-02       1.910070512078e-07      -1.262981058329e+00       2.787866826089e-02       7.985335838936e-10       1.996333959734e-09       3.216467600027e-17       3.992667919468e-10      -9.472357937470e-01       2.787866826089e-02       6.846773119477e-01       6.846776732968e-01      -9.472360539318e-01       2.789795187116e-02      -2.615229437409e-03      -2.439382239906e-05       0.000000000000e+00       3.333333330231e-01 
       9.162654584098e-02       1.976367469105e-07      -1.270192634555e+00       2.900552256897e-02       8.894844976022e-10       2.223711244006e-09       3.835844315106e-17       4.447422488011e-10      -9.526444759164e-01       2.900552256898e-02       6.829035394835e-01       6.829039154384e-01      -9.526447985186e-01       2.902688347297e-02      -2.799754766976e-03      -2.647351715643e-05       0.000000000000e+00       3.333333330011e-01 
       1.019768675137e-01       2.199663808147e-07      -1.288754767472e+00       3.273189426680e-02       1.243385571918e-09       3.108463929795e-09       6.642103479009e-17       6.216927859589e-10      -9.665660756039e-01       3.273189426681e-02       6.783694800887e-01       6.783699043429e-01      -9.665666596513e-01       3.276133900585e-02      -3.467498455927e-03      -3.456674060071e-05       0.000000000000e+00       3.333333329218e-01 
       1.123271891864e-01       2.422968639428e-07      -1.301375040428e+00       3.638007321970e-02       1.676798912480e-09       4.191997281200e-09       1.086835373344e-16       8.383994562399e-10      -9.760312803211e-01       3.638007321972e-02       6.753335933340e-01       6.753340648741e-01      -9.760322187315e-01       3.641941966187e-02      -4.206538707603e-03      -4.448006575500e-05       0.000000000000e+00       3.333333328340e-01 
       1.226775108591e-01       2.646281962948e-07      -1.310374463277e+00       3.997438151873e-02       2.197736262473e-09       5.494340656183e-09       1.699162843590e-16       1.098868131237e-09      -9.827808474575e-01       3.997438151877e-02       6.732154097901e-01       6.732159279177e-01      -9.827822529138e-01       4.002563156715e-02      -5.016830941141e-03      -5.639783240937e-05       0.000000000000e+00       3.333333327378e-01 
