# Matter power spectrum P(k) at redshift z=0
# for k=1.05341e-05 to 9.75079 h/Mpc,
# number of wavenumbers equal to 760
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.053406427462e-05       5.106751555262e+01 
       2.343461541053e-05       1.101976521128e+02 
       3.638085443396e-05       1.682299330869e+02 
       4.940772117468e-05       2.258143704593e+02 
       6.255073672821e-05       2.833179366252e+02 
       7.584632114858e-05       3.410136981716e+02 
       8.933212135050e-05       3.991338665777e+02 
       1.030473535936e-04       4.578915080030e+02 
       1.170331649548e-04       5.174916461799e+02 
       1.313330182281e-04       5.781379490124e+02 
       1.459931046974e-04       6.400373534281e+02 
       1.610627891646e-04       7.034036405766e+02 
       1.765950914319e-04       7.684604766771e+02 
       1.926472080593e-04       8.354441785089e+02 
       2.092810775411e-04       9.046063610626e+02 
       2.265639909448e-04       9.762165418379e+02 
       2.445692483515e-04       1.050564765324e+03 
       2.633768589063e-04       1.127964239356e+03 
       2.830742786587e-04       1.208753984948e+03 
       3.037571752970e-04       1.293301450015e+03 
       3.255302019898e-04       1.382005004958e+03 
       3.485077534106e-04       1.475296213936e+03 
       3.728146652807e-04       1.573641692924e+03 
       3.985868041444e-04       1.677544343033e+03 
       4.259714766509e-04       1.787543659738e+03 
       4.551275679054e-04       1.904214735210e+03 
       4.862252978896e-04       2.028165541379e+03 
       5.194454661937e-04       2.160031936317e+03 
       5.549780425812e-04       2.300469967016e+03 
       5.930199602611e-04       2.450144820545e+03 
       6.337719877261e-04       2.609716197615e+03 
       6.774346016595e-04       2.779819859025e+03 
       7.242028641187e-04       2.961045432422e+03 
       7.742604234129e-04       3.153911636315e+03 
       8.277729024945e-04       3.358839367621e+03 
       8.848810921807e-04       3.576125271961e+03 
       9.456944982534e-04       3.805918020666e+03 
       1.010285863967e-03       4.048199017502e+03 
       1.078687269210e-03       4.302771373811e+03 
       1.150888278447e-03       4.569257329849e+03 
       1.226836383593e-03       4.847105745970e+03 
       1.306439706444e-03       5.135609069938e+03 
       1.389571648274e-03       5.433835660469e+03 
       1.476076961050e-03       5.740849340891e+03 
       1.565778604904e-03       6.055687307391e+03 
       1.658484758748e-03       6.377294973389e+03 
       1.753995445431e-03       6.704608422014e+03 
       1.852108382375e-03       7.036579653094e+03 
       1.952623833329e-03       7.372196553064e+03 
       2.055348385269e-03       7.710498513285e+03 
       2.160097688362e-03       8.050586955249e+03 
       2.266698271030e-03       8.391632127637e+03 
       2.374988580089e-03       8.732876081547e+03 
       2.484819406045e-03       9.073632896756e+03 
       2.596053845113e-03       9.413287425328e+03 
       2.708566930676e-03       9.751291789190e+03 
       2.822245043792e-03       1.008716214568e+04 
       2.936985189094e-03       1.042047282457e+04 
       3.052694201329e-03       1.075085340140e+04 
       3.169287929890e-03       1.107798242719e+04 
       3.286690434281e-03       1.140158314456e+04 
       3.404833212217e-03       1.172141907032e+04 
       3.523654473719e-03       1.203728980180e+04 
       3.643098468407e-03       1.234902726906e+04 
       3.763114868913e-03       1.265649205954e+04 
       3.883658210407e-03       1.295957043644e+04 
       4.004687384313e-03       1.325817041482e+04 
       4.126165183143e-03       1.355222088548e+04 
       4.248057892731e-03       1.384166712203e+04 
       4.370334927867e-03       1.412647060271e+04 
       4.492968507320e-03       1.440660519739e+04 
       4.615933364332e-03       1.468205671350e+04 
       4.739206488913e-03       1.495282013535e+04 
       4.862766898518e-03       1.521889178072e+04 
       4.986595433975e-03       1.548028760260e+04 
       5.110674577854e-03       1.573704097744e+04 
       5.234988292721e-03       1.598916019309e+04 
       5.359521877014e-03       1.623667731321e+04 
       5.484261836522e-03       1.647961991142e+04 
       5.609195769675e-03       1.671801963107e+04 
       5.734312265056e-03       1.695191490406e+04 
       5.859600809745e-03       1.718134563048e+04 
       5.985051707252e-03       1.740635400783e+04 
       6.110656003946e-03       1.762698073844e+04 
       6.236405423044e-03       1.784327030262e+04 
       6.362292305280e-03       1.805526634510e+04 
       6.488309555538e-03       1.826302001695e+04 
       6.614450594781e-03       1.846657275304e+04 
       6.740709316690e-03       1.866597519620e+04 
       6.867080048522e-03       1.886127077804e+04 
       6.993557515705e-03       1.905250806861e+04 
       7.120136809806e-03       1.923973360409e+04 
       7.246813359489e-03       1.942299899042e+04 
       7.373582904166e-03       1.960234694088e+04 
       7.500441470060e-03       1.977782242730e+04 
       7.627385348437e-03       1.994947257306e+04 
       7.754411075778e-03       2.011733999355e+04 
       7.881515415710e-03       2.028148270780e+04 
       8.008695342517e-03       2.044193145045e+04 
       8.135948026070e-03       2.059873495147e+04 
       8.263270818052e-03       2.075193958411e+04 
       8.390661239340e-03       2.090158998528e+04 
       8.518116968454e-03       2.104772395507e+04 
       8.645635830944e-03       2.119038545195e+04 
       8.773215789662e-03       2.132962050368e+04 
       8.900854935810e-03       2.146547041515e+04 
       9.028551480713e-03       2.159797265640e+04 
       9.156303748240e-03       2.172717306384e+04 
       9.284110167822e-03       2.185310380493e+04 
       9.411969268013e-03       2.197581659764e+04 
       9.539879670548e-03       2.209534696540e+04 
       9.667840084857e-03       2.221172561440e+04 
       9.795849302986e-03       2.232500656662e+04 
       9.923906194908e-03       2.243522074358e+04 
       1.005200970418e-02       2.254240232912e+04 
       1.018015884393e-02       2.264660018987e+04 
       1.030835269310e-02       2.274784542627e+04 
       1.043659039304e-02       2.284617482623e+04 
       1.056487114423e-02       2.294162983511e+04 
       1.069319420339e-02       2.303424630202e+04 
       1.082155888065e-02       2.312405693144e+04 
       1.094996453700e-02       2.321110545954e+04 
       1.107841058194e-02       2.329542680105e+04 
       1.120689647120e-02       2.337704869648e+04 
       1.133542170475e-02       2.345601103338e+04 
       1.146398582481e-02       2.353234498283e+04 
       1.159258841412e-02       2.360609534810e+04 
       1.172122909428e-02       2.367727517507e+04 
       1.184990752416e-02       2.374593911210e+04 
       1.197862339853e-02       2.381210539376e+04 
       1.210737644666e-02       2.387581437254e+04 
       1.223616643115e-02       2.393709519591e+04 
       1.236499314670e-02       2.399597237956e+04 
       1.249385641911e-02       2.405248677369e+04 
       1.262275610424e-02       2.410665859752e+04 
       1.275169208709e-02       2.415852543377e+04 
       1.288066428096e-02       2.420812303523e+04 
       1.300967262667e-02       2.425546132770e+04 
       1.313871709177e-02       2.430058194585e+04 
       1.326779766992e-02       2.434351809886e+04 
       1.339691438023e-02       2.438428822287e+04 
       1.352606726671e-02       2.442292519019e+04 
       1.365525639770e-02       2.445943955851e+04 
       1.378448186544e-02       2.449387323177e+04 
       1.391374378556e-02       2.452625210403e+04 
       1.404304229674e-02       2.455659738601e+04 
       1.417237756029e-02       2.458494156662e+04 
       1.430174975987e-02       2.461130388330e+04 
       1.443115910113e-02       2.463571297756e+04 
       1.456060581151e-02       2.465819778134e+04 
       1.469009013994e-02       2.467877972964e+04 
       1.480253419385e-02       2.469513712388e+04 
       1.481961235670e-02       2.469749533937e+04 
       1.494917275319e-02       2.471435652774e+04 
       1.507877164183e-02       2.472938974418e+04 
       1.520840935587e-02       2.474263228208e+04 
       1.533808624935e-02       2.475410630618e+04 
       1.546780269701e-02       2.476381616891e+04 
       1.559755909421e-02       2.477181463075e+04 
       1.572735585694e-02       2.477810296904e+04 
       1.585719342178e-02       2.478272787806e+04 
       1.598707224594e-02       2.478569624469e+04 
       1.611699280727e-02       2.478704183625e+04 
       1.624695560433e-02       2.478678905632e+04 
       1.637696115644e-02       2.478496223538e+04 
       1.650701000380e-02       2.478157955435e+04 
       1.663710270759e-02       2.477666997104e+04 
       1.676723985009e-02       2.477026233199e+04 
       1.689742203483e-02       2.476236483304e+04 
       1.702764988675e-02       2.475301133696e+04 
       1.715792405242e-02       2.474222257230e+04 
       1.728824520016e-02       2.473000775641e+04 
       1.741861402033e-02       2.471642378018e+04 
       1.754903122552e-02       2.470146504243e+04 
       1.767949755083e-02       2.468515113002e+04 
       1.781001375408e-02       2.466752038900e+04 
       1.794058061618e-02       2.464858967293e+04 
       1.807119894135e-02       2.462836632978e+04 
       1.820186955745e-02       2.460687629832e+04 
       1.833259331637e-02       2.458416071088e+04 
       1.846337109430e-02       2.456021006707e+04 
       1.859420379215e-02       2.453504860482e+04 
       1.872509233590e-02       2.450873365787e+04 
       1.885603767703e-02       2.448123387717e+04 
       1.898704079290e-02       2.445259838320e+04 
       1.911810268724e-02       2.442283506638e+04 
       1.924922439054e-02       2.439196192516e+04 
       1.938040696054e-02       2.435999119565e+04 
       1.951165148275e-02       2.432698508962e+04 
       1.964295907091e-02       2.429289647242e+04 
       1.977433086754e-02       2.425781481710e+04 
       1.990576804450e-02       2.422164831776e+04 
       2.003727180349e-02       2.418450418031e+04 
       2.016884337672e-02       2.414642422773e+04 
       2.030048402742e-02       2.410732361434e+04 
       2.043219505056e-02       2.406731241802e+04 
       2.056397777342e-02       2.402635497563e+04 
       2.069583355626e-02       2.398446825709e+04 
       2.082776379307e-02       2.394171153606e+04 
       2.095976991220e-02       2.389805718650e+04 
       2.109185337716e-02       2.385352762125e+04 
       2.122401568734e-02       2.380814146286e+04 
       2.135625837877e-02       2.376198282129e+04 
       2.148858302500e-02       2.371493822066e+04 
       2.162099123786e-02       2.366708692927e+04 
       2.175348466833e-02       2.361848240057e+04 
       2.188606500747e-02       2.356907922740e+04 
       2.201873398728e-02       2.351894687885e+04 
       2.215149338165e-02       2.346803817370e+04 
       2.228434500737e-02       2.341643862656e+04 
       2.241729072507e-02       2.336410392296e+04 
       2.255033244030e-02       2.331106706871e+04 
       2.268347210459e-02       2.325732102506e+04 
       2.281671171650e-02       2.320295135020e+04 
       2.295005332282e-02       2.314788634182e+04 
       2.308349901969e-02       2.309221012725e+04 
       2.321705095381e-02       2.303581612886e+04 
       2.335071132370e-02       2.297893603486e+04 
       2.348448238098e-02       2.292149078257e+04 
       2.361836643166e-02       2.286326643514e+04 
       2.375236583753e-02       2.280459778209e+04 
       2.388648301758e-02       2.274533526111e+04 
       2.402072044941e-02       2.268549108316e+04 
       2.415508067076e-02       2.262512960173e+04 
       2.428956628103e-02       2.256430074481e+04 
       2.442417994293e-02       2.250289086704e+04 
       2.455892438405e-02       2.244096336599e+04 
       2.469380239861e-02       2.237857182785e+04 
       2.482881684920e-02       2.231579564578e+04 
       2.496397066862e-02       2.225242082105e+04 
       2.509926686170e-02       2.218862488573e+04 
       2.523470850728e-02       2.212443391381e+04 
       2.537029876021e-02       2.205980079624e+04 
       2.550604085337e-02       2.199474964238e+04 
       2.564193809987e-02       2.192932176055e+04 
       2.577799389521e-02       2.186345527165e+04 
       2.591421171958e-02       2.179723535865e+04 
       2.605059514022e-02       2.173054835177e+04 
       2.618714781387e-02       2.166363655274e+04 
       2.632387348928e-02       2.159632477853e+04 
       2.646077600984e-02       2.152866365780e+04 
       2.659785931627e-02       2.146067275934e+04 
       2.673512744944e-02       2.139234542466e+04 
       2.687258455327e-02       2.132374608973e+04 
       2.701023487773e-02       2.125488116551e+04 
       2.714808278192e-02       2.118565945612e+04 
       2.728613273736e-02       2.111616954072e+04 
       2.742438933129e-02       2.104644578996e+04 
       2.756285727012e-02       2.097643651152e+04 
       2.770154138309e-02       2.090622622304e+04 
       2.784044662592e-02       2.083570490905e+04 
       2.797957808473e-02       2.076501150081e+04 
       2.811894098002e-02       2.069409757463e+04 
       2.825854067085e-02       2.062292162513e+04 
       2.839838265920e-02       2.055160002532e+04 
       2.853847259437e-02       2.048004451390e+04 
       2.867881627774e-02       2.040833799868e+04 
       2.881941966758e-02       2.033644832216e+04 
       2.896028888408e-02       2.026442546123e+04 
       2.910143021462e-02       2.019216092601e+04 
       2.924285011918e-02       2.011982057311e+04 
       2.938455523609e-02       2.004728928312e+04 
       2.952655238782e-02       1.997465137638e+04 
       2.966884858724e-02       1.990188968830e+04 
       2.981145104394e-02       1.982899061366e+04 
       2.995436717096e-02       1.975595129031e+04 
       3.009760459166e-02       1.968289746168e+04 
       3.024117114707e-02       1.960969454029e+04 
       3.038507490335e-02       1.953634628903e+04 
       3.052932415971e-02       1.946301899190e+04 
       3.067392745667e-02       1.938954000309e+04 
       3.081889358457e-02       1.931600086978e+04 
       3.096423159263e-02       1.924240231274e+04 
       3.110995079822e-02       1.916878066621e+04 
       3.125606079674e-02       1.909502736224e+04 
       3.140257147182e-02       1.902120605651e+04 
       3.154949300603e-02       1.894746133586e+04 
       3.169683589211e-02       1.887361945896e+04 
       3.184461094465e-02       1.879976091491e+04 
       3.199282931247e-02       1.872577782334e+04 
       3.214150249139e-02       1.865185601794e+04 
       3.229064233783e-02       1.857785656760e+04 
       3.244026108287e-02       1.850392091832e+04 
       3.259037134716e-02       1.842989098931e+04 
       3.274098615650e-02       1.835598688584e+04 
       3.289211895817e-02       1.828195196745e+04 
       3.304378363818e-02       1.820794008529e+04 
       3.319599453931e-02       1.813396273291e+04 
       3.334876648012e-02       1.805999173342e+04 
       3.350211477499e-02       1.798601030657e+04 
       3.365605525515e-02       1.791203777853e+04 
       3.381060429084e-02       1.783809916631e+04 
       3.396577881477e-02       1.776417737947e+04 
       3.412159634666e-02       1.769029007038e+04 
       3.427807501934e-02       1.761645762813e+04 
       3.443523360615e-02       1.754259615995e+04 
       3.459309154999e-02       1.746878018795e+04 
       3.475166899390e-02       1.739504588851e+04 
       3.491098681354e-02       1.732129414329e+04 
       3.507106665147e-02       1.724760080834e+04 
       3.523193095346e-02       1.717394398593e+04 
       3.539360300696e-02       1.710031830221e+04 
       3.555610698196e-02       1.702677567744e+04 
       3.571946797421e-02       1.695325442637e+04 
       3.588371205123e-02       1.687979223898e+04 
       3.604886630111e-02       1.680639123419e+04 
       3.621495888446e-02       1.673294649729e+04 
       3.638201908962e-02       1.665964927698e+04 
       3.655007739151e-02       1.658633631821e+04 
       3.671916551431e-02       1.651315070302e+04 
       3.688931649828e-02       1.643992680142e+04 
       3.706056477116e-02       1.636682800574e+04 
       3.723294622437e-02       1.629374120823e+04 
       3.740649829449e-02       1.622075865464e+04 
       3.758126005049e-02       1.614774430867e+04 
       3.775727228712e-02       1.607482797237e+04 
       3.793457762504e-02       1.600196576871e+04 
       3.811322061824e-02       1.592914297584e+04 
       3.829324786948e-02       1.585634404028e+04 
       3.847470815429e-02       1.578360804057e+04 
       3.865765255456e-02       1.571090576899e+04 
       3.884213460235e-02       1.563822710366e+04 
       3.902821043508e-02       1.556559808504e+04 
       3.921593896299e-02       1.549299781734e+04 
       3.940538205026e-02       1.542044474289e+04 
       3.959660471093e-02       1.534790514747e+04 
       3.978967532126e-02       1.527537144934e+04 
       3.998466585002e-02       1.520289592388e+04 
       4.018165210870e-02       1.513041710634e+04 
       4.038071402364e-02       1.505795222106e+04 
       4.058193593238e-02       1.498548503053e+04 
       4.078540690694e-02       1.491303416679e+04 
       4.099122110683e-02       1.484053055615e+04 
       4.119947816524e-02       1.476805762009e+04 
       4.141028361214e-02       1.469552513473e+04 
       4.162374933843e-02       1.462301017694e+04 
       4.183999410618e-02       1.455044495871e+04 
       4.205914411028e-02       1.447776146685e+04 
       4.228133359790e-02       1.440514374620e+04 
       4.250670555284e-02       1.433237969587e+04 
       4.273541245307e-02       1.425961355606e+04 
       4.296761711090e-02       1.418669721308e+04 
       4.320349360658e-02       1.411372384751e+04 
       4.344322832806e-02       1.404063287018e+04 
       4.368702113127e-02       1.396742555688e+04 
       4.393508663797e-02       1.389409062603e+04 
       4.418765569076e-02       1.382057023385e+04 
       4.444497698825e-02       1.374692389664e+04 
       4.470731892736e-02       1.367311736228e+04 
       4.497497168432e-02       1.359907778407e+04 
       4.524824957173e-02       1.352477340148e+04 
       4.552749371586e-02       1.345031310636e+04 
       4.581307510657e-02       1.337554999308e+04 
       4.610539808233e-02       1.330048456203e+04 
       4.640490432519e-02       1.322509043995e+04 
       4.671207745528e-02       1.314937978126e+04 
       4.702744833327e-02       1.307331491898e+04 
       4.735160120154e-02       1.299679185800e+04 
       4.768518082347e-02       1.291982895290e+04 
       4.802890081526e-02       1.284238054115e+04 
       4.838355340834e-02       1.276436724874e+04 
       4.875002093620e-02       1.268580875966e+04 
       4.912928940828e-02       1.260654536723e+04 
       4.952246462188e-02       1.252660939921e+04 
       4.993079137424e-02       1.244583583369e+04 
       5.035567647897e-02       1.236421257028e+04 
       5.079871647125e-02       1.228166033981e+04 
       5.126173111715e-02       1.219801418277e+04 
       5.174680413483e-02       1.211312470575e+04 
       5.225633290766e-02       1.202691322605e+04 
       5.279308943521e-02       1.193917574159e+04 
       5.336029534528e-02       1.184974472864e+04 
       5.396171448167e-02       1.175834009211e+04 
       5.460176737035e-02       1.166466824129e+04 
       5.528567267066e-02       1.156833694194e+04 
       5.601962133335e-02       1.146886723306e+04 
       5.681098915187e-02       1.136563753199e+04 
       5.766859174255e-02       1.125786519001e+04 
       5.860298082104e-02       1.114449186807e+04 
       5.962676839221e-02       1.102412799949e+04 
       6.075493992891e-02       1.089494103231e+04 
       6.200506916512e-02       1.075443137493e+04 
       6.339726431736e-02       1.059926708446e+04 
       6.495355482346e-02       1.042496653434e+04 
       6.669630272375e-02       1.022590539605e+04 
       6.864522119685e-02       9.995160997300e+03 
