# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#         x_e = electron ionization fraction
#      -kappa = optical depth
#      kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#           g = kappa' e^-kappa = visibility function 
#          Tb = baryon temperature 
#         w_b = baryon equation of state parameter 
#       c_b^2 = baryon sound speed squared 
#       tau_d = baryon drag optical depth 
#    1:scale factor a         2:z                      3:conf. time [Mpc]       4:x_e                    5:kappa' [Mpc^-1]        6:exp(-kappa)            7:g [Mpc^-1]             8:Tb [K]                 9:dTb [K]               10:w_b                   11:c_b^2                 12:tau_d              
       1.000000000000e+00       0.000000000000e+00       1.405206367453e+04       1.163693935109e+00       4.528796264511e-07       1.000000000000e+00       4.528796264511e-07       3.576852197085e-01       7.001704109170e-01       5.563973889443e-14       9.194475114027e-14       0.000000000000e+00 
       9.852202187408e-01       1.500150015002e-02       1.398573154949e+04       1.163693930896e+00       4.665692906287e-07       9.999695042726e-01       4.665550622588e-07       3.682599280607e-01       7.096525227508e-01       5.728468797461e-14       9.463336891667e-14       4.527105047803e-08 
       9.708709583455e-01       3.000300030003e-02       1.391988165546e+04       1.163693926422e+00       4.804627911954e-07       9.999383230542e-01       4.804331577179e-07       3.789765451755e-01       7.190875156697e-01       5.895171166505e-14       9.735629617487e-14       9.225005343140e-08 
       9.569336778639e-01       4.500450045005e-02       1.385451752307e+04       1.163693921672e+00       4.945601281327e-07       9.999064580797e-01       4.945138660285e-07       3.898343614276e-01       7.284749660021e-01       6.064069957878e-14       1.001132896157e-13       1.409649013873e-07 
       9.433908859326e-01       6.000600060006e-02       1.378964234571e+04       1.163693916628e+00       5.088613014204e-07       9.998739113964e-01       5.087971398095e-07       4.008326622011e-01       7.378144740065e-01       6.235154055248e-14       1.029041051606e-13       1.914427576332e-07 
       9.302260675412e-01       7.500750075008e-02       1.372525898322e+04       1.163693911273e+00       5.233663110371e-07       9.998406853064e-01       5.232829310936e-07       4.119707278894e-01       7.471056625428e-01       6.408412264638e-14       1.057284979705e-13       2.437102907350e-07 
       9.174236168456e-01       9.000900090009e-02       1.366136996630e+04       1.163693905586e+00       5.380751569592e-07       9.998067823648e-01       5.379711913498e-07       4.232478338955e-01       7.563481757909e-01       6.583833314431e-14       1.085862224615e-13       2.977936097376e-07 
       9.049687754548e-01       1.050105010501e-01       1.359797750169e+04       1.163693899548e+00       5.529878391616e-07       9.997722053637e-01       5.528618714978e-07       4.346630971260e-01       7.655413989175e-01       6.761403467510e-14       1.114769924470e-13       3.537182799028e-07 
       8.928475756764e-01       1.200120012001e-01       1.353508347798e+04       1.163693893137e+00       5.681043576168e-07       9.997369573194e-01       5.679549219238e-07       4.462160310809e-01       7.746854712143e-01       6.941115155952e-14       1.144006253145e-13       4.115093189856e-07 
       8.810467882633e-01       1.350135013501e-01       1.347268947188e+04       1.163693886329e+00       5.834247122956e-07       9.997010414596e-01       5.832502924952e-07       4.579058700429e-01       7.837800403599e-01       7.122956468462e-14       1.173568665187e-13       4.711912002392e-07 
